Name,URL,Author,Price,Number of Ratings,Average Rating
I've Loved You Since Forever,https://www.amazon.in/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,.50,19,4.5 out of 5 stars
A Wrinkle in Time (Time Quintet),https://www.amazon.in/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,61,3079,4.4 out of 5 stars
The Rock  the Road  and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began,https://www.amazon.in/Rock-Road-Rabbi-Journey-Scriptural/dp/0785215964?_encoding=UTF8&psc=1,Kathie Lee Gifford,.89,17,4.0 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.in/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,.84,1240,4.8 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.amazon.in/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,.99,Not Available,Not Available
Children of Blood and Bone (Legacy of Orisha),https://www.amazon.in/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1,Tomi Adeyemi,.84,35,4.7 out of 5 stars
Food: What the Heck Should I Eat?,https://www.amazon.in/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,.80,105,4.6 out of 5 stars
How to Catch a Leprechaun,https://www.amazon.in/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?_encoding=UTF8&psc=1,Adam Wallace,44,77,4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,.99,3153,4.5 out of 5 stars
Player's Handbook (Dungeons & Dragons),https://www.amazon.in/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1,Wizards RPG Team,.97,2459,4.6 out of 5 stars
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),https://www.amazon.in/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1,Dav Pilkey,40,293,4.9 out of 5 stars
I've Been Thinking . . .: Reflections  Prayers  and Meditations for a Meaningful Life,https://www.amazon.in/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1,Maria Shriver,.00,85,4.9 out of 5 stars
The Healing Power of Essential Oils: Soothe Inflammation  Boost Mood  Prevent Autoimmunity  and Feel Great in Every Way,https://www.amazon.in/Healing-Power-Essential-Oils-Inflammation/dp/1524761362?_encoding=UTF8&psc=1,Eric Zielinski D.C.,.86,Not Available,Not Available
The 5 Love Languages: The Secret to Love that Lasts,https://www.amazon.in/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1,Gary Chapman,57,12613,4.8 out of 5 stars
Little Fires Everywhere,https://www.amazon.in/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1,Celeste Ng,.28,1853,4.4 out of 5 stars
Ready Player One: A Novel,https://www.amazon.in/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,79,16013,4.6 out of 5 stars
First 100 Words,https://www.amazon.in/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1,Board book,34,7771,4.6 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.in/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Board book,90,208,4.5 out of 5 stars
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://www.amazon.in/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1,Jen Sincero,63,3310,4.6 out of 5 stars
The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time  A Wind in the Door  A Swiftly Tilting Planet  Many Waters  An Acceptable Time),https://www.amazon.in/Wrinkle-Quintet-Swiftly-Tilting-Acceptable/dp/0312373511?_encoding=UTF8&psc=1,Madeleine L'Engle,.77,515,4.7 out of 5 stars
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.amazon.in/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1,Michelle McNamara,.91,72,4.8 out of 5 stars
A Wrinkle in Time Movie Tie-In Edition (A Wrinkle in Time Quintet),https://www.amazon.in/Wrinkle-Time-Movie-Tie-Quintet/dp/1250153271?_encoding=UTF8&psc=1,Madeleine L'Engle,60,3079,4.4 out of 5 stars
Goodnight Moon,https://www.amazon.in/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1,Board book,93,3165,4.7 out of 5 stars
Metabolism Revolution: Lose 14 Pounds in 14 Days and Keep It Off for Life,https://www.amazon.in/Metabolism-Revolution-Lose-Pounds-Days/dp/0062691627?_encoding=UTF8&psc=1,Haylie Pomroy,.79,57,4.0 out of 5 stars
The Plant Paradox: The Hidden Dangers in "Healthy" Foods That Cause Disease and Weight Gain,https://www.amazon.in/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1,Dr. Steven R Gundry,.69,1210,4.5 out of 5 stars
Milk and Honey,https://www.amazon.in/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1,Rupi Kaur,51,5256,4.6 out of 5 stars
The Sun and Her Flowers,https://www.amazon.in/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1,Rupi Kaur,90,636,4.6 out of 5 stars
Wonder,https://www.amazon.in/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1,R. J. Palacio,.19,12457,4.9 out of 5 stars
Happy Easter  Mouse! (If You Give...),https://www.amazon.in/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1,Board book,63,278,4.5 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig),https://www.amazon.in/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1,Scholastic,99,175,4.8 out of 5 stars
Giraffes Can't Dance,https://www.amazon.in/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1,Board book,06,3782,4.7 out of 5 stars
She Persisted: 13 American Women Who Changed the World,https://www.amazon.in/She-Persisted-American-Women-Changed/dp/1524741728?_encoding=UTF8&psc=1,Chelsea Clinton,.79,542,4.5 out of 5 stars
Box of Butterflies: Discovering the Unexpected Blessings All Around Us,https://www.amazon.in/Box-Butterflies-Discovering-Unexpected-Blessings/dp/1501150936?_encoding=UTF8&psc=1,Roma Downey,.00,134,4.9 out of 5 stars
The Very Hungry Caterpillar,https://www.amazon.in/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1,Board book,64,3399,4.6 out of 5 stars
