Name,URL,Author,Price,Number of Ratings,Average Rating
The Subtle Art of Not Giving a F*ck,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,Mark Manson,180.00,223,4.4 out of 5 stars
India 2018,https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1,Publication Division,245.00,13,2.8 out of 5 stars
The Power of your Subconscious Mind,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,Joseph Murphy,98.00,2834,4.5 out of 5 stars
Think and Grow Rich,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,Napoleon Hill,75.00,2374,4.5 out of 5 stars
Indian Polity 5th Edition,https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,M. Laxmikanth,393.00,1906,4.5 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018,https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1,Arihant Experts,199.00,44,3.9 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success,https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1,Sourav Ganguly,438.00,73,4.6 out of 5 stars
Sapiens,https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,Yuval Noah Harari,279.00,869,4.7 out of 5 stars
Will You Still Love Me?,https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1,RAVINDER SINGH,103.00,51,4.8 out of 5 stars
A Brief History of Modern India,https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1,Rajiv Ahir,265.00,128,4.2 out of 5 stars
How to Win Friends and Influence People,https://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1,Dale Carnegie,117.00,1808,4.5 out of 5 stars
Manorama Yearbook 2018,https://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1,Mammen Mathew,240.00,122,4.1 out of 5 stars
Mathematics for Class 10 by R D Sharma (2018-19 Session),https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1,R.D. Sharma,455.00,9,4.6 out of 5 stars
Catalyst,https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1,Chandramouli,230.00,17,4.4 out of 5 stars
Word Power Made Easy,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,Norman Lewis,144.00,4713,4.4 out of 5 stars
General Knowledge 2019,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1,Manohar Pandey,26.00,21,4.1 out of 5 stars
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,Paulo Coelho,189.00,2945,4.6 out of 5 stars
RRB Group D Guide 2018,https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1,Arihant Experts,191.00,22,4.2 out of 5 stars
Immortal Talks,https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1,Shunya,249.00,492,4.9 out of 5 stars
Environment,https://www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1,Shankar,375.00,384,4.2 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World),https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1,Robert T Kiyosaki,220.00,2434,4.5 out of 5 stars
Indian Art and Culture,https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1,Nitin Singhania,320.00,112,4.6 out of 5 stars
RRB Group D Guide Hindi 2018,https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1,Arihant Experts,179.00,4,4.7 out of 5 stars
Exam Warriors,https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1,Narendra Modi,64.00,273,4.4 out of 5 stars
